ID,245a,250a,ITEM or VIT,Barcode,Item Status,Chron I_x,Chron J,Chron K,Enum A,Enum B,Enum C,Sublibrary,Publication.title,General.area.of.coverage,Chron I_y,Title.ID
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128269,1,1892,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland, ,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128267,1,1891,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1891,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128265,1,1890,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1890,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128263,1,1889,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1889,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128261,1,1888,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1888,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128259,1,1887,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1887,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128257,1,1886,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1886,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128255,1,1885,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1885,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000207809,0M,1885,01-Dec,Jan-31,1885,1,NP000207809,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1885,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128247,1,1881,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1881,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000203916,PM,1870,01-Dec,Jan-31,1870,1,NP000203916,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1870,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760651,1,1864,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1864,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000192664,UX,1890,01-Dec,Jan-31,1890,1,NP000192664,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1890,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000205516,UM,1866,01-Dec,Jan-31,1866,1,NP000205516,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1866,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128249,1,1882,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1882,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128251,1,1883,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1883,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B2128253,1,1884,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1884,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000181839,UM,1873,01-Dec,Jan-31,1873,1,NP000181839,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1873,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760649,1,1863,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1863,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000205181,UM,1867,01-Dec,Jan-31,1867,1,NP000205181,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1867,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760661,1,1871,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1871,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760655,1,1867,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1867,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760663,1,1872,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1872,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760673,1,1877,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1877,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760671,1,1876,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1876,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760669,1,1875,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1875,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760667,1,1874,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1874,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760665,1,1873,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1873,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,Z000565621,1,1862,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1862,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000185000,UM,1879,01-Dec,Jan-31,1879,1,NP000185000,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1879,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760659,1,1870,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1870,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760641,1,1858,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1858,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000205702,0M,1865,01-Dec,Jan-31,1865,1,NP000205702,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1865,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000194389,PM,1892,01-Dec,Jan-31,1892,1,NP000194389,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1892,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000206197,UM,1864,01-Dec,Jan-31,1864,1,NP000206197,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1864,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760658,1,1869,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1869,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000183024,0M,1875,01-Dec,Jan-31,1875,1,1,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1875,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000190175,UM,1887,01-Dec,Jan-31,1887,1,NP000190175,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1887,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000449546,UM,1862,01-Dec,Jan-31,1862,1,NP000449546,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1862,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000184298,UM,1877,01-Dec,Jan-31,1877,1,NP000184298,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1877,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000199708,UM,1859,01-Dec,Jan-31,1859,1,NP000199708,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1859,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000194021,PM,1891,01-Dec,Jan-31,1891,1,NP000194021,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1891,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760644,1,1860,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1860,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760646,1,1861,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1861,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000189786,PM,1886,01-Dec,Jan-31,1886,1,NP000189786,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1886,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000185884,PM,1881,01-Dec,Jan-31,1881,1,NP000185884,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1881,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000203834,0M,1871,01-Dec,Jan-31,1871,1,NP000203834,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1871,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000185692,UM,1880,01-Dec,Jan-31,1880,1,NP000185692,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1880,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760679,1,1880,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1880,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000204661,PM,1868,01-Dec,Jan-31,1868,1,NP000204661,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1868,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000187989,UM,1883,01-Dec,Jan-31,1883,1,NP000187989,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1883,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000186751,PM,1882,01-Dec,Jan-31,1882,1,NP000186751,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1882,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,NP000184338,PM,1878,01-Dec,Jan-31,1878,1,NP000184338,NPL,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1878,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,Z000565624,1,1865,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1865,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,Z000565654,1,1868,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1868,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,Z000565628,1,1866,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1866,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,Z000565589,1,1859,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1859,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760675,1,1878,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1878,013894026
13894026,"Stockton Herald, South Durham and Cleveland Advertiser.",,ITEM,B1760677,1,1879,,,,,,HMNTS,"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,1879,013894026
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000121958,0M,1903,01-Dec,Jan-31,1903,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1903,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081444,1,1894,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1894,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081454,1,1898,,,,,,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1898,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760691,1,1906,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1906,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081357,1,1892,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1892,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081453,1,1897,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1897,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760689,1,1905,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1905,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081464,1,1900,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1900,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081458,1,1899,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1899,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081451,1,1896,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1896,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081449,1,1895,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1895,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000122174,PM,1902,01-Dec,Jan-31,1902,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1902,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000118667,PM,1904,01-Dec,Jan-31,1904,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1904,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760693,1,1907,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1907,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000104576,PM,1909,01-Dec,Jan-31,1909,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1909,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000180895,0M,1900,01-Dec,Jan-31,1900,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1900,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000093664,1,1916,01-Dec,Jan-31,1916,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1916,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760695,1,1908,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1908,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B3081382,1,1893,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1893,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000094134,1,1915,01-Dec,Jan-31,1915,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1915,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000099916,1,1912,01-Dec,Jan-31,1912,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1912,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000111337,0M,1908,01-Dec,Jan-31,1908,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1908,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000117656,PM,1905,01-Dec,Jan-31,1905,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1905,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000091410,PX,1917,01-Dec,Jan-31,1917,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1917,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000178540,0M,1899,01-Dec,Jan-31,1899,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1899,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000114041,0M,1907,01-Dec,Jan-31,1907,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1907,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000097651,PX,1913,01-Dec,Jan-31,1913,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1913,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760687,1,1904,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1904,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760699,1,1910,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1910,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000195716,0M,1894,01-Dec,Jan-31,1894,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1894,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000096684,1,1914,01-Dec,Jan-31,1914,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1914,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760681,1,1901,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1901,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760683,1,1902,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1902,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760697,1,1909,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1909,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,B1760700,1,1911,,,,,,HMNTS,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1911,013894027
13894027,The Stockton & Thornaby Herald and South Durham Advertis,,ITEM,NP000115389,PM,1906,01-Dec,Jan-31,1906,1,1,NPL,The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,1906,013894027
