Publication.title,General.area.of.coverage,canNo,startReel,endReel,startDate,endDate,Title.ID
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,6906,3,3,1855,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,10151,8,8,1859,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,11131,4,4,1876,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,4,4,1874 Jan 2,1874 Dec 19,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,4,4,1873 Jan 1,1873 Dec 27,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,4,4,1831 Aug 0,1832 Jul 31,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,5,6,1832 Jul 0,1840 Nov 28,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,7,7,1841 Feb 0,1845 Jul 19,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,8,8,1846 Jun 0,1846 Dec 26,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,8,8,1847 Apr 0,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,8,8,1847 Jul 1,1847 Dec 18,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,8,8,1848 Jan 0,1849 Dec 22,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,8,9,1850 Feb 0,1853 Dec 24,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,9,9,1854 May 1,1854 Dec 02,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,10,10,1855 Jan 0,1855 Dec 22,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,10,10,1856 Jan 1,1856 Dec 06,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,10,10,1857 Mar 1,1857 Apr 11,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,10,10,1857 Oct 2,1857 Dec 19,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,10,10,1858 Jan 0,1858 May 29,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22662,10,10,1858 Jul 0,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,1,1,1858 Jul 0,1859 Dec 18,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,1,1,1860 Feb 1,1860 Dec 29,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,1,1,1861 Mar 0,1861 Aug 24,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,2,2,1861 Sep 1,1862 Oct 11,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,2,2,1863 Jan 0,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,2,2,1863 Feb 0,1864 Aug 13,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,3,3,1864 Sep 0,1866 Dec 22,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,4,4,1867 Jan 1,1869 Jul 17,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,5,5,1869 Jul 0,1870 Jul 16,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,5,5,1870 Sep 2,1871 Dec 30,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,5,5,1872 Jan 1,1872 Jan 27,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,6,6,1872 Jan 1,1872 Dec 28,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,6,6,1874 Jan 1,1874 Dec 24,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,6,6,1873 Jan 0,1873 Dec 27,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,7,7,1836 Nov 3,1840 Nov 28,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,7,7,1841 Feb 0,1841 Jun 26,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,8,8,1841 Aug 2,1841 Dec 18,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,8,8,1844 Jan 1,1844 Dec 21,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,8,8,1845 Feb 1,1845 Dec 27,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,8,8,1846 Mar 0,1846 May 30,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,9,9,1846 Mar 0,1846 Dec 26,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,9,10,1850 Feb 0,1853 Dec 24,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,9,9,1847 Apr 0,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,9,9,1847 Jul 1,1847 Dec 18,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,9,9,1848 Jan 0,1849 Aug 18,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,10,10,1849 Aug 0,1849 Dec 22,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,10,10,1854 May 1,1854 Dec 02,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,10,10,1855 Jan 0,1855 Dec 29,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22663,10,10,1856 Jan 1,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,1,1,1856 Jan 1,,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,1,1,1856 Feb 0,1856 Apr 26,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,1,1,1856 Jun 2,1856 Dec 26,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,1,1,1857 Mar 0,1857 Apr 11,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,1,1,1857 Oct 2,1858 May 29,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,1,1,1858 Jul 0,1859 Dec 17,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,2,2,1860 Feb 1,1860 Dec 29,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,2,2,1861 Mar 0,1862 Oct 11,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,3,6,1863 Jan 0,1870 Jul 16,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,6,6,1870 Sep 2,1872 Dec 28,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22691,1,1,1834 Jan 0,1836 Oct 18,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22691,1,1,1845 Jul 1,1845 Dec 27,013901029
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,2,2,1847 Jul 1,1848 Dec 27,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,3898,14,14,1849,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,3,3,1850 Jan 0,1851 Dec,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,4,4,1854,1855,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,5,5,1856,1857,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,6,6,1858,1859,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,7,7,1860,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,8,8,1861,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,9,9,1862,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,10,10,1863,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,11,11,1864,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,12,12,1865,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,13,13,1866,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,14,14,1867,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,1,1,1868,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,2,2,1869,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,3,3,1870,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,4,4,1871,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,5,5,1872,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,6,6,1873 Jan,1873 Jul 16,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,7,7,1874 Jan 2,1874 Dec,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,8,8,1875,,013908572
